,0,1
0,&{l=%,1
1,&{l=@,1
2,&{l=l2,2
3,&{l=p,2
4,&{l=wh,2
5,&{l=x,23
6,&}l=%,1
7,&}l=@,1
8,&}l=l2,2
9,&}l=p,2
10,&}l=wh,2
11,&}l=x,23
12,+,10
13,+/,31
14,2,35
15,3,20
16,4,4
17,@end,1
18,a,86
19,a-,1
20,a:ll,1
21,a:nd,3
22,about,18
23,about:,1
24,absolutely,1
25,acquire,1
26,across,1
27,actual,3
28,actualizing,1
29,add,1
30,affect,2
31,afl-cio,1
32,africa-,1
33,african-american,2
34,african-americans,3
35,after,2
36,again,1
37,against,2
38,agent,1
39,agents,2
40,ago,1
41,agree,5
42,agree-,1
43,agreement,1
44,ah,2
45,ah:,1
46,al-,1
47,alive,1
48,all,13
49,allying,1
50,almond,1
51,along,1
52,already,1
53,alright,44
54,also,3
55,altruistic,1
56,am,8
57,america,1
58,american,7
59,americans,2
60,among,1
61,an,5
62,analysis,2
63,and,61
64,angeles,3
65,another,7
66,answer,1
67,any,2
68,anymore,1
69,anything,1
70,apart,1
71,apathy,3
72,approximately,1
73,are,26
74,argument,2
75,as,22
76,asian-american,1
77,asking,1
78,aspects,1
79,at,14
80,attitude,1
81,attitudes,1
82,auto,1
83,away,1
84,b,1
85,back,4
86,baseball,1
87,based,1
88,bastion,1
89,be,10
90,be:,1
91,beacon,1
92,becaus:e,1
93,because,14
94,been,5
95,before,2
96,beginning,4
97,behavior,1
98,being,3
99,believe,2
100,betrayal,1
101,better,1
102,between,1
103,birth,1
104,black,2
105,blacks,4
106,board,1
107,bombardment,1
108,book,3
109,books,1
110,border,1
111,born,1
112,bottom,3
113,break,1
114,breaking,1
115,briefly,1
116,britain,1
117,building,1
118,built,1
119,burned,1
120,bush,3
121,but,24
122,by,11
123,by:,1
124,c,1
125,cabinet,1
126,called,1
127,can,8
128,can't,2
129,canada,2
130,cannot,1
131,capability,1
132,capacity,1
133,capitalism,1
134,care,4
135,carefully,2
136,categories,1
137,categorizing,1
138,cause,3
139,cents,1
140,certain,1
141,cesar,1
142,cetera,7
143,chairperson,1
144,challenged,1
145,changed,1
146,chavez,1
147,chicano,4
148,chicano-latino,1
149,chicanos,10
150,childhood,1
151,choice,1
152,chrysler,1
153,circumstances,1
154,citizen,1
155,citizenry,1
156,city,1
157,civic,2
158,claims,1
159,class,2
160,clinton,1
161,close,3
162,coalition,1
163,coalitions,2
164,combining,3
165,come,6
166,comes,1
167,coming,1
168,comments,1
169,communist,2
170,community,3
171,comp-,1
172,comparison,5
173,concept,6
174,concepts,3
175,conceptually,1
176,conditioned,1
177,conditions,1
178,congress,2
179,congressional,1
180,congressmen,1
181,consistent,1
182,constant,2
183,constitution,2
184,contributing,1
185,contributors,1
186,control,2
187,corporation,3
188,correct,2
189,corrupt,1
190,corruption,1
191,cough,3
192,could,2
193,couldn't,1
194,council,1
195,country,5
196,court,1
197,cover,1
198,covered,1
199,cradle,2
